iter	Passed	Remaining
466	721	823
467	722	821
468	724	819
469	725	817
470	725	815
471	726	813
472	728	811
473	729	809
474	730	807
475	732	806
476	733	803
477	734	801
478	735	799
479	736	797
480	737	795
481	738	793
482	739	791
483	740	789
484	741	787
485	742	784
486	743	782
487	744	781
488	746	779
489	747	777
490	748	775
491	749	773
492	750	771
493	752	770
494	753	768
495	754	766
496	755	764
497	756	762
498	758	761
499	760	760
500	761	758
501	762	756
502	763	754
503	764	752
504	766	750
505	767	748
506	768	747
507	769	744
508	770	742
509	771	741
510	772	739
511	773	737
512	776	737
513	777	735
514	778	733
515	779	731
516	781	730
517	782	728
518	784	726
519	788	728
520	790	727
521	792	725
522	793	723
523	794	721
524	795	719
525	796	717
526	797	715
527	798	713
528	799	712
529	800	710
530	801	708
531	803	706
532	804	705
533	805	703
534	807	701
535	808	699
536	809	697
537	811	696
538	812	694
539	813	692
540	814	690
541	815	689
542	816	687
543	817	685
544	819	683
545	820	682
546	821	680
547	822	678
548	823	676
549	823	674
550	825	672
551	826	670
552	827	668
553	828	666
554	829	664
555	830	662
556	831	660
557	832	659
558	833	657
559	835	656
560	836	654
561	837	652
562	838	650
563	839	648
564	840	647
565	841	645
566	842	643
567	843	641
568	844	639
569	845	637
570	846	636
571	848	634
572	849	632
573	850	630
574	851	629
575	852	627
576	853	625
577	854	623
578	855	621
579	856	620
580	857	618
581	858	616
582	859	614
583	860	612
584	860	610
585	862	609
586	863	607
587	864	605
588	865	603
589	866	602
590	867	600
591	868	598
592	869	596
593	870	595
594	871	593
595	872	591
596	873	589
597	875	588
598	876	586
599	877	585
600	878	583
601	879	581
602	880	579
603	881	578
604	882	576
605	884	574
606	885	573
607	886	571
608	887	569
609	888	567
610	889	566
611	890	564
612	891	562
613	892	561
614	893	559
615	895	557
616	896	556
617	897	554
618	898	552
619	899	551
620	900	549
621	901	547
622	902	546
623	903	544
624	904	542
625	905	541
626	907	539
627	908	537
628	909	536
629	909	534
630	910	532
631	911	530
632	912	529
633	914	527
634	915	526
635	916	524
636	917	522
637	918	520
638	918	519
639	919	517
640	921	515
641	922	514
642	923	512
643	924	511
644	925	509
645	926	507
646	928	506
647	929	504
648	930	503
649	931	501
650	932	499
651	934	498
652	935	497
653	936	495
654	937	493
655	938	492
656	939	490
657	940	488
658	941	487
659	942	485
660	943	484
661	945	482
662	946	480
663	947	479
664	948	477
665	949	476
666	951	474
667	952	473
668	953	471
669	954	470
670	955	468
671	956	467
672	958	465
673	959	463
674	960	462
675	961	460
676	962	459
677	963	457
678	964	456
679	965	454
680	967	453
681	968	451
682	969	449
683	970	448
684	971	446
685	972	445
686	973	443
687	974	441
688	975	440
689	976	438
690	977	437
691	979	435
692	980	434
693	981	432
694	983	431
695	984	430
696	986	428
697	987	427
698	988	425
699	989	424
700	990	422
701	993	421
702	994	420
703	995	418
704	996	417
705	997	415
706	998	413
707	999	412
708	1000	410
709	1001	409
710	1003	407
711	1004	406
712	1010	406
713	1014	406
714	1017	405
715	1018	403
716	1020	402
717	1021	401
718	1023	399
719	1024	398
720	1026	397
721	1028	395
722	1029	394
723	1030	393
724	1032	391
725	1033	390
726	1035	388
727	1036	387
728	1037	385
729	1039	384
730	1040	382
731	1041	381
732	1043	379
733	1044	378
734	1046	377
735	1047	375
736	1049	374
737	1051	373
738	1052	371
739	1054	370
740	1055	368
741	1056	367
742	1058	366
743	1060	364
744	1062	363
745	1078	367
746	1080	366
747	1084	365
748	1087	364
749	1089	363
750	1091	361
751	1092	360
752	1094	358
753	1095	357
754	1096	355
755	1097	354
756	1099	352
757	1102	352
758	1104	350
759	1106	349
760	1107	347
761	1108	346
762	1109	344
763	1110	343
764	1111	341
765	1112	339
766	1113	338
767	1115	336
768	1116	335
769	1117	333
770	1118	332
771	1119	330
772	1120	329
773	1121	327
774	1123	326
775	1125	324
776	1126	323
777	1129	322
778	1130	320
779	1132	319
780	1133	317
781	1135	316
782	1136	315
783	1138	313
784	1140	312
785	1141	310
786	1143	309
787	1146	308
788	1148	307
